# Fuente: PVGIS v5.2 (Photovoltaic Geographical Information System) - Comision Europea, JRC
# Producto: TMY (Typical Meteorological Year), serie horaria (8760 h)
# Endpoint: https://re.jrc.ec.europa.eu/api/v5_2/tmy?lat=4.70&lon=-74.15&outputformat=csv
# Ubicacion: Bogota (Aeropuerto El Dorado, aprox.) - Lat 4.700 N, Lon -74.150, Elev 2547 m
# Nota: cada mes del TMY proviene de un anio real distinto (ver tabla "month,year" mas abajo).
# Descargado: 2026-07-23
# Zona horaria de time(UTC): UTC. Bogota = UTC-5 (sin horario de verano).
# Columnas clave: G(h)=GHI [W/m2], Gb(n)=DNI [W/m2], Gd(h)=DHI [W/m2], T2m=temp aire [C].
# Original de PVGIS sin modificar salvo este encabezado. Regenerar: ver docs/09-validacion.md.
#
Latitude (decimal degrees): 4.700
Longitude (decimal degrees): -74.150
Elevation (m): 2547.0
Irradiance Time Offset (h): 0.0
month,year
1,2010
2,2010
3,2015
4,2008
5,2006
6,2009
7,2013
8,2006
9,2012
10,2007
11,2014
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090604:0300,12.76,85.55,0.0,-0.0,0.0,368.4,0.97,107.0,74547.0
20090604:0400,12.66,86.25,0.0,-0.0,0.0,376.4,0.76,111.0,74554.0
20090604:0500,12.61,86.65,0.0,-0.0,0.0,381.0,0.69,105.0,74517.0
20090604:0600,12.46,86.45,0.0,-0.0,0.0,380.0,0.69,116.0,74466.0
20090604:0700,12.51,80.8,0.0,-0.0,0.0,382.2,0.76,118.0,74444.0
20090604:0800,12.45,81.05,0.0,-0.0,0.0,381.6,0.76,117.0,74385.0
20090604:0900,12.45,81.3,0.0,-0.0,0.0,380.2,0.62,126.0,74393.0
20090604:1000,12.5,81.35,0.0,-0.0,0.0,380.4,0.69,118.0,74378.0
20090604:1100,12.58,81.45,25.0,191.69,15.0,382.2,0.76,109.0,74451.0
20090604:1200,12.83,81.2,241.0,631.41,58.0,377.8,0.76,103.0,74481.0
20090604:1300,13.48,77.05,483.0,800.21,75.0,380.2,1.03,117.0,74532.0
20090604:1400,14.29,71.85,525.0,265.31,340.0,382.0,1.03,135.0,74517.0
20090604:1500,15.25,68.3,598.0,184.67,443.0,381.4,0.69,176.0,74503.0
20090604:1600,14.86,72.15,148.0,9.72,139.0,385.8,0.69,175.0,74451.0
20090604:1700,14.83,75.15,269.0,17.85,252.0,386.4,0.9,160.0,74407.0
20090604:1800,14.7,79.5,302.0,19.66,284.0,383.6,0.83,188.0,74290.0
20090604:1900,15.76,66.3,143.0,7.33,137.0,388.85,0.69,219.0,74283.0
20090604:2000,15.41,69.45,119.0,1.5,118.0,374.6,0.76,228.0,74246.0
20090604:2100,15.33,69.2,85.0,0.0,85.0,374.0,0.62,221.0,74261.0
20090604:2200,14.63,74.45,19.0,0.0,19.0,372.4,0.69,248.0,74239.0
20090604:2300,13.87,79.1,0.0,0.0,0.0,364.8,0.34,192.0,74327.0
20090605:0000,13.57,80.8,0.0,-0.0,0.0,371.0,0.34,141.0,74415.0
20090605:0100,13.33,82.65,0.0,-0.0,0.0,370.25,0.48,150.0,74488.0
20090605:0200,13.14,83.95,0.0,-0.0,0.0,372.4,0.62,157.0,74554.0
20090605:0300,12.98,85.05,0.0,-0.0,0.0,375.4,0.55,164.0,74576.0
20090605:0400,12.96,84.95,0.0,-0.0,0.0,384.0,0.62,135.0,74561.0
20090605:0500,12.87,84.75,0.0,-0.0,0.0,380.6,0.62,123.0,74517.0
20090605:0600,12.7,85.5,0.0,-0.0,0.0,378.4,0.41,158.0,74481.0
20090605:0700,12.73,82.45,0.0,-0.0,0.0,383.6,0.62,150.0,74429.0
20090605:0800,12.73,82.45,0.0,-0.0,0.0,384.8,0.48,146.0,74400.0
20090605:0900,12.63,83.4,0.0,-0.0,0.0,381.0,0.41,162.0,74393.0
20090605:1000,12.57,84.0,0.0,-0.0,0.0,380.6,0.48,168.0,74400.0
20090605:1100,12.56,84.8,3.0,0.0,3.0,380.2,0.41,167.0,74503.0
20090605:1200,12.78,84.15,55.0,0.0,55.0,381.4,0.48,140.0,74539.0
20090605:1300,13.28,80.8,206.0,27.5,192.0,383.2,0.76,127.0,74620.0
20090605:1400,13.92,76.4,337.0,45.95,305.0,383.0,0.62,140.0,74613.0
20090605:1500,14.61,72.7,170.0,11.93,160.0,383.8,0.28,147.0,74583.0
20090605:1600,14.95,73.35,401.0,28.09,375.0,387.0,0.41,242.0,74539.0
20090605:1700,15.28,72.8,524.0,58.84,468.0,387.4,0.21,231.0,74503.0
20090605:1800,15.13,74.25,368.0,24.04,346.0,386.2,0.34,260.0,74473.0
20090605:1900,15.22,70.6,430.0,57.44,383.0,377.6,0.69,220.0,74407.0
20090605:2000,15.04,71.05,185.0,10.48,178.0,385.2,0.55,220.0,74415.0
20090605:2100,14.55,73.95,176.0,16.88,168.0,380.8,0.48,222.0,74400.0
20090605:2200,14.02,77.55,61.0,0.0,61.0,377.0,0.34,253.0,74466.0
20090605:2300,13.56,80.75,0.0,0.0,0.0,380.4,0.34,219.0,74495.0
20090606:0000,13.19,83.8,0.0,-0.0,0.0,371.8,0.21,256.0,74583.0
20090606:0100,12.94,84.85,0.0,-0.0,0.0,379.05,0.41,80.0,74657.0
20090606:0200,12.8,85.65,0.0,-0.0,0.0,372.0,0.55,94.0,74715.0
20090606:0300,12.74,86.15,0.0,-0.0,0.0,376.0,0.69,97.0,74737.0
20090606:0400,12.59,86.85,0.0,-0.0,0.0,374.2,0.76,84.0,74715.0
20090606:0500,12.48,87.35,0.0,-0.0,0.0,375.2,0.55,88.0,74708.0
20090606:0600,12.16,88.6,0.0,-0.0,0.0,364.8,0.62,90.0,74657.0
20090606:0700,12.18,86.4,0.0,-0.0,0.0,378.2,0.48,108.0,74613.0
20090606:0800,12.14,86.2,0.0,-0.0,0.0,374.4,0.62,103.0,74591.0
20090606:0900,12.12,85.8,0.0,-0.0,0.0,374.6,0.48,120.0,74576.0
20090606:1000,12.04,85.9,0.0,-0.0,0.0,371.8,0.62,120.0,74569.0
20090606:1100,11.88,86.4,11.0,0.0,11.0,362.6,0.69,122.0,74620.0
20090606:1200,12.29,84.35,108.0,24.27,101.0,372.6,0.69,120.0,74649.0
20090606:1300,13.21,78.6,263.0,76.74,224.0,371.4,0.76,128.0,74671.0
20090606:1400,14.25,71.95,695.0,878.41,84.0,370.6,1.03,139.0,74686.0
20090606:1500,15.03,65.4,223.0,16.71,209.0,379.2,1.17,140.0,74649.0
20090606:1600,15.63,63.05,282.0,18.38,265.0,378.8,0.97,166.0,74598.0
20090606:1700,16.74,56.3,478.0,43.11,437.0,371.4,1.31,151.0,74525.0
20090606:1800,16.97,54.3,455.0,42.64,416.0,379.6,1.38,168.0,74415.0
20090606:1900,17.8,49.3,504.0,108.78,415.0,359.6,0.9,180.0,74371.0
20090606:2000,17.83,47.85,420.0,142.22,325.0,370.4,0.76,181.0,74290.0
20090606:2100,16.94,51.8,252.0,94.85,207.0,363.2,1.03,236.0,74312.0
20090606:2200,15.78,59.3,206.0,634.17,47.0,369.8,0.62,242.0,74312.0
20090606:2300,14.5,67.95,0.0,0.0,0.0,351.2,0.55,284.0,74356.0
20090607:0000,13.38,75.6,0.0,-0.0,0.0,345.8,0.14,285.0,74481.0
20090607:0100,12.78,78.55,0.0,-0.0,0.0,355.25,0.83,102.0,74605.0
20090607:0200,12.75,77.45,0.0,-0.0,0.0,366.4,0.9,117.0,74657.0
20090607:0300,12.78,76.8,0.0,-0.0,0.0,377.0,0.76,128.0,74708.0
20090607:0400,12.68,76.9,0.0,-0.0,0.0,378.8,0.69,113.0,74686.0
20090607:0500,12.55,77.85,0.0,-0.0,0.0,375.4,0.55,80.0,74679.0
20090607:0600,12.36,79.65,0.0,-0.0,0.0,376.4,0.14,94.0,74627.0
20090607:0700,12.15,78.05,0.0,-0.0,0.0,377.8,0.14,52.0,74583.0
20090607:0800,11.89,79.7,0.0,-0.0,0.0,361.6,0.14,65.0,74583.0
20090607:0900,11.79,81.0,0.0,-0.0,0.0,367.6,0.14,150.0,74598.0
20090607:1000,11.76,81.05,0.0,-0.0,0.0,368.2,0.48,131.0,74613.0
20090607:1100,11.67,81.35,24.0,178.37,15.0,364.0,0.48,118.0,74627.0
20090607:1200,12.03,79.55,125.0,55.62,109.0,373.0,0.55,113.0,74642.0
20090607:1300,12.85,74.85,121.0,3.94,119.0,365.8,0.62,141.0,74686.0
20090607:1400,14.5,66.0,411.0,102.2,340.0,351.8,0.62,172.0,74679.0
20090607:1500,15.27,62.45,686.0,340.56,401.0,375.4,0.48,193.0,74642.0
20090607:1600,15.57,64.15,575.0,98.47,484.0,372.6,0.76,235.0,74547.0
20090607:1700,16.05,61.65,282.0,18.94,264.0,363.6,0.83,219.0,74437.0
20090607:1800,16.24,61.2,671.0,199.03,489.0,362.6,0.9,239.0,74349.0
20090607:1900,17.09,53.5,37.0,0.0,37.0,366.8,0.9,262.0,74319.0
20090607:2000,15.74,62.2,227.0,14.97,217.0,364.4,1.03,265.0,74290.0
20090607:2100,14.72,67.7,317.0,233.74,206.0,363.4,1.03,230.0,74349.0
20090607:2200,13.93,72.3,151.0,230.72,93.0,368.0,0.62,232.0,74400.0
20090607:2300,13.4,75.35,0.0,0.0,0.0,360.8,0.34,236.0,74444.0
20090608:0000,13.13,77.5,0.0,-0.0,0.0,366.8,0.21,198.0,74539.0
20090608:0100,13.02,79.3,0.0,-0.0,0.0,371.85,0.14,169.0,74591.0
20090608:0200,12.82,81.05,0.0,-0.0,0.0,370.6,0.41,186.0,74635.0
20090608:0300,12.55,82.8,0.0,-0.0,0.0,371.6,0.41,177.0,74679.0
20090608:0400,12.34,83.85,0.0,-0.0,0.0,370.2,0.48,92.0,74657.0
20090608:0500,12.24,84.35,0.0,-0.0,0.0,363.4,0.55,96.0,74642.0
20090608:0600,12.11,85.6,0.0,-0.0,0.0,369.6,0.34,104.0,74583.0
20090608:0700,11.9,86.15,0.0,-0.0,0.0,372.4,0.62,123.0,74539.0
20090608:0800,11.8,85.8,0.0,-0.0,0.0,367.8,0.69,118.0,74532.0
20090608:0900,11.85,85.05,0.0,-0.0,0.0,371.8,0.83,101.0,74510.0
20090608:1000,11.94,84.25,0.0,-0.0,0.0,373.0,0.76,98.0,74561.0
20090608:1100,11.89,84.8,9.0,0.0,9.0,370.6,0.76,100.0,74598.0
20090608:1200,12.31,83.2,145.0,108.06,114.0,372.0,0.76,102.0,74613.0
20090608:1300,12.79,80.5,479.0,803.45,72.0,375.2,0.69,111.0,74642.0
20090608:1400,13.97,75.45,470.0,175.82,348.0,365.4,0.83,121.0,74605.0
20090608:1500,14.68,72.65,859.0,919.76,90.0,379.8,0.62,150.0,74561.0
20090608:1600,15.41,68.55,591.0,110.45,489.0,377.2,0.9,155.0,74547.0
20090608:1700,15.5,68.6,401.0,26.31,376.0,376.4,0.9,176.0,74481.0
20090608:1800,15.67,66.4,414.0,32.82,384.0,377.2,0.83,169.0,74356.0
20090608:1900,18.11,49.4,285.0,18.34,270.0,380.8,0.97,155.0,74246.0
20090608:2000,18.17,47.95,340.0,61.34,299.0,365.6,0.62,213.0,74180.0
20090608:2100,16.8,54.85,165.0,10.52,160.0,371.6,0.9,271.0,74224.0
20090608:2200,15.94,60.25,52.0,0.0,52.0,364.0,0.69,263.0,74305.0
20090608:2300,14.54,69.35,0.0,0.0,0.0,336.2,0.48,290.0,74334.0
20090609:0000,13.82,74.95,0.0,-0.0,0.0,349.6,0.41,343.0,74451.0
20090609:0100,12.96,84.4,0.0,-0.0,0.0,344.05,0.21,14.0,74532.0
20090609:0200,12.73,84.3,0.0,-0.0,0.0,355.6,0.28,83.0,74576.0
20090609:0300,12.41,82.65,0.0,-0.0,0.0,353.4,0.55,95.0,74649.0
20090609:0400,12.25,83.05,0.0,-0.0,0.0,357.6,0.83,92.0,74635.0
20090609:0500,12.19,82.5,0.0,-0.0,0.0,361.6,0.9,87.0,74635.0
20090609:0600,12.06,82.3,0.0,-0.0,0.0,364.6,0.62,101.0,74561.0
20090609:0700,11.82,81.4,0.0,-0.0,0.0,360.0,0.9,102.0,74547.0
20090609:0800,11.83,79.45,0.0,-0.0,0.0,367.0,0.83,115.0,74517.0
20090609:0900,11.73,78.15,0.0,-0.0,0.0,364.8,0.76,114.0,74532.0
20090609:1000,11.48,77.4,0.0,-0.0,0.0,361.6,0.76,110.0,74539.0
20090609:1100,10.98,78.65,13.0,20.33,12.0,351.4,0.97,110.0,74569.0
20090609:1200,11.32,77.05,141.0,97.86,113.0,342.8,1.17,99.0,74613.0
20090609:1300,12.96,69.45,355.0,257.05,225.0,362.0,1.1,110.0,74635.0
20090609:1400,14.57,62.35,694.0,883.04,82.0,361.4,1.17,122.0,74583.0
20090609:1500,16.28,54.75,860.0,922.99,89.0,364.2,1.1,135.0,74517.0
20090609:1600,17.73,48.65,963.0,942.74,93.0,354.8,1.38,136.0,74422.0
20090609:1700,19.21,42.9,631.0,126.36,511.0,367.8,1.52,143.0,74385.0
20090609:1800,20.21,39.95,282.0,18.6,265.0,368.4,0.83,170.0,74276.0
20090609:1900,19.26,45.1,415.0,50.12,374.0,366.8,0.83,185.0,74232.0
20090609:2000,18.71,48.05,157.0,5.98,153.0,366.8,0.76,249.0,74173.0
20090609:2100,17.82,51.85,120.0,0.0,120.0,349.0,0.48,247.0,74151.0
20090609:2200,17.17,53.7,86.0,0.0,86.0,359.8,0.41,273.0,74217.0
20090609:2300,15.89,61.2,0.0,0.0,0.0,346.6,0.55,270.0,74283.0
20090610:0000,14.36,71.6,0.0,-0.0,0.0,330.4,0.21,347.0,74385.0
20090610:0100,13.11,78.75,0.0,-0.0,0.0,339.65,0.55,63.0,74466.0
20090610:0200,12.75,79.5,0.0,-0.0,0.0,355.6,1.03,90.0,74547.0
20090610:0300,12.32,81.05,0.0,-0.0,0.0,348.4,1.31,97.0,74620.0
20090610:0400,12.18,80.8,0.0,-0.0,0.0,352.8,1.1,105.0,74649.0
20090610:0500,12.44,79.25,0.0,-0.0,0.0,373.4,0.9,108.0,74635.0
20090610:0600,12.42,79.05,0.0,-0.0,0.0,369.8,0.9,108.0,74583.0
20090610:0700,11.98,79.05,0.0,-0.0,0.0,365.2,0.76,98.0,74547.0
20090610:0800,11.54,80.3,0.0,-0.0,0.0,352.6,0.83,108.0,74525.0
20090610:0900,11.32,80.55,0.0,-0.0,0.0,353.4,0.69,105.0,74547.0
20090610:1000,11.07,81.05,0.0,-0.0,0.0,357.6,0.76,113.0,74576.0
20090610:1100,11.1,80.3,13.0,20.61,12.0,352.0,0.9,106.0,74605.0
20090610:1200,12.09,75.2,135.0,80.61,112.0,366.2,0.76,95.0,74649.0
20090610:1300,13.27,69.7,299.0,132.7,232.0,362.0,0.55,93.0,74679.0
20090610:1400,14.77,62.3,275.0,24.56,258.0,355.6,0.14,250.0,74649.0
20090610:1500,15.19,62.2,620.0,220.47,436.0,371.4,0.34,262.0,74649.0
20090610:1600,15.42,63.45,434.0,34.7,402.0,379.8,0.28,262.0,74598.0
20090610:1700,16.0,60.85,636.0,130.63,512.0,369.0,0.34,254.0,74613.0
20090610:1800,16.31,60.25,57.0,0.0,57.0,378.8,0.48,249.0,74517.0
20090610:1900,15.48,65.55,72.0,0.0,72.0,375.0,0.9,243.0,74451.0
20090610:2000,14.95,69.85,210.0,11.96,202.0,375.2,0.83,264.0,74437.0
20090610:2100,15.2,71.6,300.0,186.84,211.0,348.2,0.62,253.0,74415.0
20090610:2200,13.85,78.85,148.0,205.14,96.0,362.8,0.55,221.0,74451.0
20090610:2300,13.21,85.2,0.0,0.0,0.0,356.0,0.21,94.0,74451.0
20090611:0000,13.0,83.65,0.0,-0.0,0.0,348.2,0.69,115.0,74547.0
20090611:0100,12.57,86.35,0.0,-0.0,0.0,352.25,0.62,107.0,74613.0
20090611:0200,12.34,88.4,0.0,-0.0,0.0,359.2,0.69,97.0,74679.0
20090611:0300,12.07,89.6,0.0,-0.0,0.0,357.0,0.76,99.0,74744.0
20090611:0400,11.92,89.95,0.0,-0.0,0.0,363.8,0.69,107.0,74766.0
20090611:0500,11.63,90.8,0.0,-0.0,0.0,354.8,0.76,107.0,74774.0
20090611:0600,11.34,92.1,0.0,-0.0,0.0,354.4,0.9,98.0,74708.0
20090611:0700,11.08,95.05,0.0,-0.0,0.0,355.0,0.76,96.0,74657.0
20090611:0800,10.99,94.95,0.0,-0.0,0.0,356.0,0.9,94.0,74605.0
20090611:0900,11.17,94.3,0.0,-0.0,0.0,369.2,0.76,102.0,74583.0
20090611:1000,11.02,93.8,0.0,-0.0,0.0,354.0,0.9,100.0,74620.0
20090611:1100,10.94,93.9,10.0,0.0,10.0,355.0,0.97,96.0,74657.0
20090611:1200,11.68,91.1,137.0,87.86,112.0,355.6,1.03,99.0,74686.0
20090611:1300,13.28,81.65,147.0,7.94,143.0,363.6,0.97,114.0,74715.0
20090611:1400,14.87,71.15,512.0,251.65,338.0,374.4,0.83,134.0,74722.0
20090611:1500,16.07,62.85,438.0,55.16,392.0,364.4,0.76,154.0,74708.0
20090611:1600,17.53,54.15,575.0,99.82,483.0,361.2,1.1,152.0,74627.0
20090611:1700,18.04,51.5,989.0,945.37,92.0,375.4,0.76,188.0,74532.0
20090611:1800,18.01,51.2,158.0,9.85,149.0,369.8,0.62,207.0,74400.0
20090611:1900,18.05,48.65,725.0,431.45,372.0,362.6,0.97,200.0,74305.0
20090611:2000,17.61,51.5,360.0,76.21,309.0,372.2,1.1,272.0,74268.0
20090611:2100,16.26,60.35,311.0,213.89,209.0,366.2,1.03,300.0,74305.0
20090611:2200,15.13,66.55,113.0,55.07,99.0,365.8,0.62,274.0,74349.0
20090611:2300,14.26,73.4,0.0,0.0,0.0,348.0,0.41,280.0,74407.0
20090612:0000,13.62,75.1,0.0,-0.0,0.0,357.0,0.28,155.0,74561.0
20090612:0100,13.29,77.6,0.0,-0.0,0.0,366.85,0.41,128.0,74635.0
20090612:0200,13.13,78.25,0.0,-0.0,0.0,365.8,0.55,130.0,74686.0
20090612:0300,12.87,81.0,0.0,-0.0,0.0,376.4,0.83,130.0,74693.0
20090612:0400,12.59,81.05,0.0,-0.0,0.0,361.0,0.9,119.0,74715.0
20090612:0500,12.49,81.65,0.0,-0.0,0.0,374.8,0.83,107.0,74730.0
20090612:0600,12.29,83.7,0.0,-0.0,0.0,376.4,0.62,96.0,74686.0
20090612:0700,11.9,89.3,0.0,-0.0,0.0,374.4,0.48,107.0,74657.0
20090612:0800,11.74,91.35,0.0,-0.0,0.0,371.0,0.48,105.0,74657.0
20090612:0900,11.67,92.6,0.0,-0.0,0.0,372.6,0.48,120.0,74649.0
20090612:1000,11.64,92.95,0.0,-0.0,0.0,371.4,0.48,115.0,74605.0
20090612:1100,11.61,93.6,0.0,0.0,0.0,372.6,0.55,122.0,74671.0
20090612:1200,11.93,91.8,8.0,0.0,8.0,375.6,0.62,146.0,74693.0
20090612:1300,12.53,86.2,255.0,71.54,219.0,378.0,0.97,142.0,74752.0
20090612:1400,13.35,78.45,526.0,280.9,332.0,380.8,1.17,150.0,74774.0
20090612:1500,15.26,65.4,703.0,478.89,304.0,373.8,1.24,152.0,74744.0
20090612:1600,16.33,58.85,762.0,332.2,456.0,373.2,1.24,156.0,74627.0
20090612:1700,17.41,53.05,829.0,346.87,500.0,371.4,1.17,159.0,74532.0
20090612:1800,18.14,49.1,790.0,489.38,343.0,362.8,1.38,180.0,74400.0
20090612:1900,17.81,49.0,437.0,61.1,387.0,379.0,1.38,171.0,74334.0
20090612:2000,17.9,47.5,303.0,38.83,277.0,377.6,1.52,185.0,74283.0
20090612:2100,17.65,48.0,424.0,657.67,110.0,365.0,1.24,197.0,74290.0
20090612:2200,16.3,54.65,212.0,654.98,45.0,367.4,0.9,240.0,74239.0
20090612:2300,15.09,61.7,0.0,0.0,0.0,367.8,0.76,246.0,74385.0
20090613:0000,14.09,67.9,0.0,-0.0,0.0,341.2,0.34,245.0,74510.0
20090613:0100,13.52,72.35,0.0,-0.0,0.0,351.85,0.41,155.0,74591.0
20090613:0200,13.28,73.25,0.0,-0.0,0.0,363.4,0.62,135.0,74664.0
20090613:0300,12.96,74.7,0.0,-0.0,0.0,360.6,0.76,126.0,74693.0
20090613:0400,12.73,75.45,0.0,-0.0,0.0,363.2,0.83,125.0,74700.0
20090613:0500,12.71,75.0,0.0,-0.0,0.0,372.2,0.83,117.0,74671.0
20090613:0600,12.58,75.25,0.0,-0.0,0.0,371.4,0.48,128.0,74635.0
20090613:0700,12.21,80.65,0.0,-0.0,0.0,367.8,0.34,154.0,74613.0
20090613:0800,12.23,80.85,0.0,-0.0,0.0,377.6,0.34,124.0,74598.0
20090613:0900,12.2,80.9,0.0,-0.0,0.0,379.4,0.28,161.0,74613.0
20090613:1000,12.11,81.0,0.0,-0.0,0.0,375.0,0.41,147.0,74627.0
20090613:1100,12.04,80.9,0.0,0.0,0.0,373.4,0.55,141.0,74686.0
20090613:1200,12.19,79.7,25.0,0.0,25.0,374.0,0.62,149.0,74737.0
20090613:1300,12.8,75.3,59.0,0.0,59.0,375.4,0.83,157.0,74781.0
20090613:1400,13.18,71.25,315.0,37.69,289.0,372.8,0.76,144.0,74752.0
20090613:1500,13.97,67.25,584.0,175.37,438.0,381.0,0.62,157.0,74744.0
20090613:1600,15.19,59.55,515.0,64.09,456.0,372.6,0.83,152.0,74700.0
20090613:1700,15.44,57.3,431.0,31.64,401.0,379.2,0.55,218.0,74613.0
20090613:1800,16.14,55.0,560.0,95.26,473.0,377.4,0.97,208.0,74503.0
20090613:1900,17.29,49.75,635.0,274.92,410.0,367.6,0.97,215.0,74451.0
20090613:2000,16.62,54.05,323.0,49.26,290.0,356.6,1.31,250.0,74415.0
20090613:2100,15.34,61.3,259.0,102.5,210.0,358.8,1.24,254.0,74422.0
20090613:2200,14.24,68.3,197.0,523.99,63.0,349.8,1.24,244.0,74481.0
20090613:2300,12.99,76.4,0.0,0.0,0.0,355.4,0.9,248.0,74532.0
20090614:0000,12.53,79.35,0.0,-0.0,0.0,359.4,0.62,245.0,74642.0
20090614:0100,12.27,82.5,0.0,-0.0,0.0,363.85,0.34,230.0,74715.0
20090614:0200,11.98,84.65,0.0,-0.0,0.0,363.6,0.41,125.0,74788.0
20090614:0300,11.79,85.7,0.0,-0.0,0.0,362.6,0.62,119.0,74825.0
20090614:0400,11.71,86.0,0.0,-0.0,0.0,369.4,0.69,105.0,74825.0
20090614:0500,11.71,85.7,0.0,-0.0,0.0,369.8,0.48,106.0,74788.0
20090614:0600,11.61,85.85,0.0,-0.0,0.0,367.2,0.34,97.0,74708.0
20090614:0700,11.19,88.25,0.0,-0.0,0.0,363.2,0.14,92.0,74671.0
20090614:0800,10.94,89.6,0.0,-0.0,0.0,357.4,0.28,28.0,74679.0
20090614:0900,10.39,94.4,0.0,-0.0,0.0,358.4,0.28,89.0,74664.0
20090614:1000,10.0,96.8,0.0,-0.0,0.0,347.8,0.55,116.0,74708.0
20090614:1100,9.89,96.7,7.0,0.0,7.0,347.6,0.55,109.0,74752.0
20090614:1200,10.36,94.1,233.0,627.37,56.0,348.4,0.55,96.0,74766.0
20090614:1300,12.18,84.2,262.0,81.74,221.0,340.4,0.28,122.0,74788.0
20090614:1400,13.98,72.2,502.0,236.53,339.0,343.0,0.41,240.0,74774.0
20090614:1500,15.38,64.0,609.0,209.17,435.0,348.8,0.55,270.0,74752.0
20090614:1600,15.66,63.0,325.0,20.65,306.0,358.4,0.97,283.0,74686.0
20090614:1700,15.33,66.8,608.0,109.72,504.0,353.0,1.17,272.0,74657.0
20090614:1800,14.68,71.3,715.0,259.51,478.0,352.2,1.1,266.0,74576.0
20090614:1900,16.48,80.25,609.0,232.11,419.0,351.8,0.83,270.0,74503.0
20090614:2000,15.78,80.5,664.0,869.69,81.0,360.0,1.1,279.0,74466.0
20090614:2100,14.72,84.5,71.0,0.0,71.0,349.6,0.97,279.0,74459.0
20090614:2200,13.98,85.0,75.0,0.0,75.0,355.4,0.97,279.0,74539.0
20090614:2300,12.89,89.05,0.0,0.0,0.0,360.0,0.9,288.0,74583.0
20090615:0000,12.17,91.5,0.0,-0.0,0.0,351.6,0.76,306.0,74649.0
20090615:0100,12.0,92.4,0.0,-0.0,0.0,364.85,0.62,322.0,74715.0
20090615:0200,11.5,94.3,0.0,-0.0,0.0,343.4,0.55,333.0,74766.0
20090615:0300,11.27,97.8,0.0,-0.0,0.0,353.8,0.55,312.0,74818.0
20090615:0400,10.92,95.6,0.0,-0.0,0.0,359.0,0.41,298.0,74818.0
20090615:0500,10.79,95.75,0.0,-0.0,0.0,350.8,0.41,307.0,74803.0
20090615:0600,10.67,98.55,0.0,-0.0,0.0,351.8,0.28,292.0,74759.0
20090615:0700,10.35,98.25,0.0,-0.0,0.0,350.4,0.34,40.0,74730.0
20090615:0800,10.33,96.6,0.0,-0.0,0.0,353.2,0.34,90.0,74700.0
20090615:0900,10.21,96.4,0.0,-0.0,0.0,347.2,0.48,73.0,74700.0
20090615:1000,9.87,96.5,0.0,-0.0,0.0,336.6,0.69,68.0,74730.0
20090615:1100,9.44,97.15,13.0,0.0,13.0,328.2,0.76,75.0,74722.0
20090615:1200,10.78,93.1,158.0,167.07,111.0,343.2,0.48,64.0,74788.0
20090615:1300,12.42,80.8,283.0,119.81,223.0,352.6,0.48,70.0,74818.0
20090615:1400,14.24,70.5,530.0,294.9,327.0,334.8,0.21,356.0,74781.0
20090615:1500,15.65,63.45,565.0,155.19,436.0,350.8,0.41,308.0,74700.0
20090615:1600,15.55,64.9,956.0,938.37,93.0,377.4,0.83,285.0,74620.0
20090615:1700,15.83,70.35,760.0,272.26,502.0,382.6,1.38,280.0,74598.0
20090615:1800,16.33,78.9,453.0,42.71,414.0,368.0,1.38,281.0,74547.0
20090615:1900,15.55,81.05,666.0,335.86,391.0,365.0,1.03,284.0,74473.0
20090615:2000,15.28,85.05,421.0,158.02,315.0,367.2,0.76,287.0,74451.0
20090615:2100,14.75,85.5,427.0,661.44,110.0,366.2,0.83,291.0,74429.0
20090615:2200,14.25,86.0,70.0,0.0,70.0,354.0,0.9,288.0,74473.0
20090615:2300,12.78,89.7,0.0,0.0,0.0,352.0,0.76,295.0,74539.0
20090616:0000,11.98,92.7,0.0,-0.0,0.0,346.6,0.21,340.0,74605.0
20090616:0100,11.33,93.65,0.0,-0.0,0.0,355.45,0.28,34.0,74671.0
20090616:0200,10.99,97.75,0.0,-0.0,0.0,359.6,0.55,72.0,74752.0
20090616:0300,10.96,98.2,0.0,-0.0,0.0,365.8,0.9,87.0,74774.0
20090616:0400,10.87,95.6,0.0,-0.0,0.0,359.8,1.03,96.0,74774.0
20090616:0500,10.59,95.45,0.0,-0.0,0.0,348.2,1.1,97.0,74730.0
20090616:0600,10.24,96.35,0.0,-0.0,0.0,342.8,0.83,90.0,74642.0
20090616:0700,10.59,95.7,0.0,-0.0,0.0,356.4,0.83,86.0,74613.0
20090616:0800,10.95,95.3,0.0,-0.0,0.0,375.0,0.76,94.0,74598.0
20090616:0900,11.06,95.4,0.0,-0.0,0.0,371.2,0.55,104.0,74605.0
20090616:1000,10.99,96.05,0.0,-0.0,0.0,362.8,0.34,98.0,74547.0
20090616:1100,10.66,96.85,13.0,0.0,13.0,354.0,0.76,90.0,74627.0
20090616:1200,11.23,93.5,230.0,623.9,55.0,351.4,0.9,103.0,74708.0
20090616:1300,12.55,84.3,177.0,18.0,168.0,354.8,0.76,114.0,74788.0
20090616:1400,14.44,69.95,443.0,145.42,343.0,345.8,0.69,128.0,74722.0
20090616:1500,16.3,57.15,436.0,55.38,390.0,343.0,0.97,115.0,74708.0
